name|menu|restCallNumber|restLocation|subInfo|openingHourTime
미미면가|"고등어구이 온소바_20,000원|성게알 냉소바_20,000원|냉/온소바_10,000원|새우튀김 냉소바_12,000원"|0507-1413-5466|서울 강남구 강남대로160길 29|무선 인터넷|11:30 - 21:30
아우어베이커리 가로수길점|"아메리카노_4,500원|더티초코_4,800원|에스프레소_4,000원|플랫화이트_4,900원"|02-546-3800|서울 강남구 강남대로162길 39|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|10:00 - 21:30
달마시안|"컬리플라워 포테이토 스프_9,000원|달마시안 수제 그래놀라 요거트볼_12,000원|비프 스테이크 토스트_19,000원|아보카도 치킨 콥 샐러드_24,000원"|0507-1491-0926|서울 강남구 압구정로42길 42|단체석, 발렛파킹, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|09:00 - 23:00
삼원가든|"삼원 전통 양념갈비_50,000원|한우 갈비 (양념/생)_100,000원|한우 특생갈비_140,000원|한우 불고기_40,000원"|02-548-3030|서울 강남구 언주로 835|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 남/녀 화장실 구분, 장애인 편의시설, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금|11:30 - 21:00
묵전|"시골장터모둠전_18,000~29,000|모듬 해물 파전_23,000원|묵전 최고 한방 도마보쌈_35,000원|돼지고기 김치찜_20,000~26,000"|02-548-1461|서울 강남구 언주로168길 22|단체석, 발렛파킹, 포장, 예약, 남/녀 화장실 구분|11:30 - 24:00
올리버|"사시미 플레이터(2인)_56,000원|올리버롤_15,000원|감자 고등어 마끼_22,000원|감자모찌_13,000원"|0507-1347-8332|서울 강남구 선릉로157길 25 2층|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금|17:00 - 새벽 01:00
카멜커피|"카멜커피_5,500원|아메리카노_5,500원|카푸치노_5,500원|플랫화이트_5,500원"|010-7774-1484|서울 강남구 도산대로45길 16-8|none|10:00 - 21:00
오스테리아 꼬또 압구정점|"꽃갈비 라구, 생면 빠빠델레_28,000원|프레쉬 트러플, 노리치아 생면 딸리올리니_32,000원|버팔로 마르게리타 피자_23,000원|쿨라텔로 단호박, 아르보리오 리조또_29,000원"|0507-1403-1962|서울 강남구 언주로165길 7-12 오스테리아꼬또 압구정점은 고객님들의 편리한 방문을 위하여 발렛파킹 서비스를 제공하고 있습니다. 주차장에 오셔서 직원에게 문의해 주세요|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|11:30 - 22:00
달래해장|"(특)해장국_12,000원|탕국_10,000원|낙지볶음_25,000원|달래불고기_18,000원"|0507-1480-5969|서울 강남구 압구정로2길 46 강남시장 1층 달래해장|none|none
마일스톤 커피|"플랫화이트_5,000원|수제마스카포네티라미수_7,000원|에스프레소_4,000원|아메리카노_4,500원"|0507-1425-1195|서울 강남구 논현로159길 49|포장, 배달, 무선 인터넷|10:00 - 21:00
대막|"바질소바_12,000원|후토마키 SET_32,000원|아부라소바_11,000원|후토마키 (5pcs)_17,000원"|02-516-5056|서울 강남구 압구정로46길 75 , 1층|none|12:00 - 21:00
뉴욕라츠오베이글스|베이글_변동|02-3448-7777|서울 강남구 압구정로48길 28 건물전체|단체석, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|08:30 - 20:00
아베크 청담|"(브런치)로스트 치킨 플레터_34,000원|독도 새우 버거_25,000원|(브런치)가지 샥슈카_25,000원|백김치 볶음밥_25,000원"|0507-1368-5129|서울 강남구 선릉로 823 1층|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 새벽 02:00
다운타우너 청담|"AVOCADO(아보카도 버거)_9,800원|BACON CHEESE(베이컨치즈 버거)_8,300원|CHEESE(치즈버거)_7,300원|GARLIC BUTTER FRIES(갈릭버터 프라이즈)_6,800원"|0507-1422-9399|서울 강남구 도산대로53길 14 1층|발렛파킹, 포장, 배달, 무선 인터넷, 반려동물 동반, 국민지원금|11:30 - 21:30
우와|"클래식 오코노미야키&야키소바_16,000원|철판 꽃갈비살 100g_19,000원|토마토 오코노미야키& 시오 야키소바_17,000원|하야시 오코노미야키& 바질 야키소바_18,000원"|070-8833-7336|서울 강남구 강남대로158길 17 1층|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|12:00 - 22:00
플레이버스 바이 바프|"Brunch Platter_19,000원|Egg Benedict_19,000원|Brioche French Toast_18,000원|Campagne Jambon Fren_20,000원"|0507-1456-1287|서울 강남구 강남대로158길 26 1층 플레이버스 바이 바프|none|10:00 - 22:00
신사전|"벌집꿀_4,000원|모듬전(소)_28,000원|모듬전(중)_33,000원|치즈감자전_26,000원"|02-3443-9991|서울 강남구 도산대로11길 18 신사전|단체석, 발렛파킹, 포장, 예약, 남/녀 화장실 구분|11:00 - 24:00
파넬|"수비드 스테이크샌드위치_25,000원|연어에그베네딕트_19,000원|베이컨에그베네딕트_19,000원|살치살 스테이크_38,000원"|02-511-6492|서울 강남구 언주로164길 14|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|10:00 - 22:00
브루클린더버거조인트 가로수길점|"브루클린웍스_9,800원|더치즈버거_7,800원"|02-545-0718|서울 강남구 도산대로15길 12 가로수빌딩 1층|단체석, 주차, 발렛파킹, 포장, 무선 인터넷|11:00 - 22:00
한올|"삐띠비에_48,000원|수비드영양갈비찜_35,000원|갈치속젓 파스타_21,000원|새우크림 리조또_23,000원"|0507-1314-8170|서울 강남구 도산대로15길 11 2층|단체석, 발렛파킹, 예약, 남/녀 화장실 구분, 제로페이|11:30 - 24:00
무탄|"스테이크트러플짜장면_28,000원|마카롱 멘보샤_24,000원|고추 유린기_38,000원|오향장우육_58,000원"|02-549-9339|서울 강남구 논현로176길 22 1층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:00 - 22:00
르브런쉭 신사점|"에그 베네딕트_18,000원|아보카도에그슬럿_18,000원|프렌치 토스트_17,600원|만조리가토니_22,000원"|0507-1399-1985|서울 강남구 강남대로162길 41-22 오로라빌|주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금|10:30 - 20:00
뱃고동|"오징어불고기백반_8,000원|낙지불고기백반_8,500원|산낙지불고기_28,000원|낙지불고기_16,000원"|0507-1413-8008|서울 강남구 언주로172길 54|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:30 - 22:00
클랩피자 청담점|"HALF&HALF 14INCH_19,000원|GARLIC_500원|BUFFALO_7,300원|CORN SALAD_6,800원"|0507-1352-9973|서울 강남구 압구정로46길 71 1층|단체석, 발렛파킹, 포장, 배달|11:30 - 21:30
지아니스나폴리 가로수길점|"감베리 크레마_17,500원|마르게리따 디 피오디라떼_18,500원|인살라타 메디테라네오_15,000원|프로시다 나폴리_17,000원"|02-3416-0316|서울 강남구 도산대로15길 15 2층|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 국민지원금|11:30 - 22:00
콴안다오|"짜조_7,000원|반미_7,000원|퍼보_9,000원|껌승_11,500원"|0507-1408-1651|서울 강남구 강남대로156길 28-2|주차, 발렛파킹, 무선 인터넷|11:00 - 22:00
카츠바이콘반|"로스카츠_15,000원|히레카츠_18,000원|믹스카츠_21,000원|로스카츠 (단품)_12,000원"|0507-1332-3903|서울 강남구 선릉로153길 36|단체석, 발렛파킹, 포장, 무선 인터넷, 제로페이, 국민지원금|11:30 - 20:30
카이센동 우니도|"우니도카이센동_35,000원|카이센동_23,000원|생생사케동_18,000원|아부리돈부리_20,000원"|0507-1401-0517|서울 강남구 압구정로2길 15 1층 카이센동우니도|none|none
핫쵸|"핫쵸 오코노미야끼_15,000원|칸조(간장) 야끼소바_14,000원|모단야끼_14,000원|토오가라시(고추) 야끼소바_14,000원"|0507-1444-3881|서울 강남구 도산대로15길 32-10 지하 1층|주차, 무선 인터넷, 제로페이, 국민지원금|11:30 - 22:00
선데이 버거 클럽|"Sunday cheese burger DBL_11,000원|Cheese burger SNGL_7,000원|Cheese burger DBL_9,000원|Chipotle cheese burger SNGL_8,000원"|02-6080-8213|서울 강남구 언주로170길 37 201호|단체석, 발렛파킹, 포장, 배달, 무선 인터넷|11:00 - 21:20
도산분식 도산공원점|"돈까스샌드_9,500원|어묵튀김도산떡볶이_6,000원|육회김밥_8,800원|김치볶음밥_9,300원"|02-514-5060|서울 강남구 도산대로49길 10-6 젤로빌딩|발렛파킹, 포장, 배달, 무선 인터넷|11:30 - 20:30
도산맘마미아|"콜드브루, 티브루_5,000~5,500|아메리카노_5,500원|카페라떼_6,500원|바닐라라떼_7,000원"|02-511-0620|서울 강남구 압구정로42길 45|주차, 발렛파킹, 포장, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|10:00 - 23:00
강남면옥 본점|"갈비찜(小)_49,000원|회냉면_12,000원|갈비찜(大)_79,000원|갈비찜(中)_63,000원"|02-3446-5539|서울 강남구 논현로152길 34|단체석, 주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|10:30 - 22:00
샌드커피 논탄토 신사|"체즈베_5,000원|골든 크림 라테_6,500원|온두라스_5,500원|이디오피아_6,500원"|02-542-0206|서울 강남구 도산대로17길 35 1F|단체석, 주차, 발렛파킹, 무선 인터넷, 국민지원금|11:00 - 22:00
다이닝 목로|"목로 곱창전골_28,000원|목로 수제 가지튀김_19,000원|가마보꼬 어묵탕_28,000원|삿포로 생맥주_9,000원"|070-4193-5180|서울 강남구 도산대로49길 6-7 1층 목로|예약, 제로페이, 국민지원금|16:00 - 24:00
안동국시|"안동국수_11,000원|건진국시_13,000원|수육 (소)_32,000원|메밀묵 소_15,000원"|02-548-4986|서울 강남구 언주로167길 46 제일빌딩 2층|단체석|11:30 - 22:00
텍사스데브라질 압구정점|"런치 슈하스코 (9종 무한제공)_53,000원|디너 슈하스코 (15종 무한제공)_68,000원"|02-3442-7734|서울 강남구 논현로 854 안다즈 호텔 지하 1층|단체석, 주차, 발렛파킹, 예약, 남/녀 화장실 구분, 장애인 편의시설|11:30 - 22:00
한추|"후라이드치킨_20,000원|한추떡볶이_18,000원|양념치킨_21,000원|고추튀김_18,000원"|02-541-0969|서울 강남구 논현로175길 68|국민지원금|14:00 - 새벽 01:00
갓잇 도산공원점|"Bset(2인)_39,000원|Family set(4인)_72,000원|Aset(2인)_37,000원|Cset (2인)_39,000원"|0507-1339-9451|서울 강남구 언주로164길 24 아크로스빌딩 지상1층 GODEAT|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|11:00 - 22:00
맥주덕후 피자덕후|"수제맥주 & 와인_변동|텍사스 수비드 비프립 피자_58,500원|캐네디언 랍스터펀치 치폴레 피자_45,000원|하와이안 갈릭 쉬림프&파인애플 피자_29,500원"|0507-1380-4091|서울 강남구 선릉로157길 23 2층 맥주덕후 피자덕후|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 23:00
오복수산 도산|"모듬 사시미 中_65,000원|우니 도로 이쿠라 관자 에비_55,000원|카이센동_22,000원|특선 카이센동_33,000원"|0507-1401-9967|서울 강남구 도산대로53길 14 2층 오복수산|주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|11:30 - 21:30
효계|"닭숯불구이 모듬 대_37,000원|닭숯불구이 모듬 중_25,000원|다리살(소금)_12,500원|다리살(양념)_13,500원"|0507-1330-9215|서울 강남구 도산대로15길 15 1층|발렛파킹, 남/녀 화장실 구분|17:00 - 24:00
압구정 곱창|"한우곱창구이_28,000원|한우막창구이_28,000원|한우대창구이_28,000원|특양구이_30,000원"|0507-1484-0054|서울 강남구 압구정로42길 25-8|단체석, 포장, 무선 인터넷|12:00 - 22:00
에뚜왈|"마들렌_2,200원|크루와상_3,400원|뺑 오 쇼콜라_3,600원|퀸 아망_3,500원"|070-7627-0057|서울 강남구 압구정로10길 35 지하1층|none|12:30 - 21:00
청담돈|"특상 청담 카이센동_31,950원|청담 카이센동_17,550원|특 우나기동_25,200원|혼마구로 우니 카니동_31,500원"|02-549-0302|서울 강남구 도산대로49길 11 2층 청담돈|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 22:00
워커비|워커비드링크_15,000원|0507-1312-4195|서울 강남구 도산대로49길 6-10 지하1층|none|21:00 - 새벽 04:00
키친마이야르|"연어포케_23,000원|통골뱅이 냉파스타_25,000원|소보로 파스타_19,000원|상하이 크림파스타_23,000원"|02-511-7002|서울 강남구 언주로170길 22 지하1층|none|none
오리지널팬케이크하우스 가로수길점|"더치베이비_18,000원|애플 팬케이크_22,000원|콥 샐러드_22,000원|그릭 샐러드_20,000원"|02-511-7481|서울 강남구 강남대로162길 41 동원빌딩|none|none
치즈룸 안다즈|"치즈케이크 조각_8,000원11,000원|전복 솥밥 리조또_24,000원28,000원|트러플 파케리 파스타_24,000원28,000원|치즈 홀케이크_45,000원"|010-6700-8861|서울 강남구 논현로 854 안다즈호텔 지하 1층 112호|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분|10:00 - 22:30
온달집 본점|"닭다리살_12,000원|꼼장어_12,000원|무뼈닭발_12,000원|닭똥집_12,000원"|02-511-5262|서울 강남구 강남대로152길 28|단체석, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분|17:00 - 새벽 05:00
웨이크앤베이크 청담|"Soup (스프)_8,000원|Jambon Beurre_11,000원|Basil Rucola Jambon_13,000원|Mortadella Croissant_13,000원"|070-8835-3565|서울 강남구 압구정로42길 47|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|11:00 - 22:00
최가네버섯샤브매운탕칼국수|"스페셜샤브샤브(1인)_16,000원|스몰샤브샤브(1인)_13,000원|버섯매운탕칼국수(1인)_10,000원|바싹불고기(대)_16,000원"|02-547-7676|서울 강남구 도산대로51길 36|주차, 예약|11:00 - 22:00
이웃집통통이 로데오점|"황치즈라떼_6,500원|소금빵_2,800원|휘낭시에_3,000원|아메리카노_4,000원"|0507-1313-9286|서울 강남구 선릉로161길 19 1층|발렛파킹, 포장, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금|10:00 - 21:00
누데이크 하우스 도산|"PICNIC 피크닉_32,000원|PEAK 피크_39,000원|PEAK SMALL 피크 스몰_23,000원|COLOSSEO 콜로세오_45,000원"|070-4128-2125|서울 강남구 압구정로46길 50 하우스 도산 B1|주차, 발렛파킹, 포장, 남/녀 화장실 구분|11:00 - 21:00
심퍼티쿠시 가로수길점|"고추오일 명란크림 파스타_17,000원|항정살 구이 곤드레 리조또_20,000원|볏짚 숙성 오리 가슴살 스테이크_27,000원|단호박 스프_8,000원"|0507-1330-2031|서울 강남구 강남대로154길 16 1층 101호|포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금|12:00 - 24:00
SADDLER HAUS|"와플세트_16,200원|페스츄리 바게트_6,900~10,800|새들러슈페너_6,500원|호지티 라떼_6,000원"|070-8265-5541|서울 강남구 도산대로17길 10 B1 새들러하우스|발렛파킹, 포장, 무선 인터넷, 반려동물 동반|12:00 - 20:00
청초수물회 강남점|"해전물회 (2인분)_46,000원|일반물회 (1인분)_18,000원|해전물회 (1인분)_26,000원|회덮밥_16,000원"|02-516-5050|서울 강남구 압구정로28길 24|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 22:00
진도켄 이자카야|"모듬사시미_32,000원|2인 course_36,000원|크림짬뽕_23,000원|후토마끼_26,000원"|0507-1330-5614|서울 강남구 도산대로15길 9 지하 1층|발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|17:30 - 24:00
ING|"수제&수입 생맥주14종_10,000원|복음&신선메뉴_27,000원|수입병맥주20종_10,000원|치킨&튀김_26,000원"|02-545-3866|서울 강남구 언주로170길 34|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분|17:00 - 새벽 04:30
은행골 신사점|"특상초밥_22,000원|특선초밥_17,000원|특미초밥_12,000원|도로초밥_29,000원"|02-3444-4988|서울 강남구 강남대로152길 42 2층|단체석, 발렛파킹, 포장, 예약, 국민지원금|11:00 - 22:30
모센즈스위트 신사점|"쿠나파_6,000원|크림 쿠나파_6,000원|게이마르 (카이막)_8,500원|발르 슈트_5,000원"|0507-1367-0239|서울 강남구 강남대로154길 21|포장, 무선 인터넷, 남/녀 화장실 구분|12:00 - 22:00
어썸로즈|"양송이 스프_4,500원|Rose Set_66,000원|Awesome Set_85,000원|브라운 브레드_2,000원"|0507-1341-0619|서울 강남구 압구정로10길 40 지하1층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금|11:00 - 22:00
소진담 신사점|"케이크_8,000원|아메리카노_5,000원|홀케이크_35,000원|쑥차_6,000원"|02-542-5550|서울 강남구 논현로161길 51 B1, 1F|단체석, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형)|11:00 - 22:00
피자네버슬립스|"CHEESE PIZZA_20,000원|PEPPERONI PIZZA_21,000원|POTATO PIZZA_26,000원|DOUBLE PEPPERONI PIZZA_25,000원"|0507-1313-5877|서울 강남구 도산대로19길 50 2층 피자네버슬립스|단체석, 포장, 예약, 무선 인터넷|12:00 - 23:00
로로|"기버터 스테이크_48,000원|유자 홀토마토 샐러드_14,000원|오징어 먹물 크림 리조또_22,000원|수제 라자냐_18,000원"|0507-1398-0022|서울 강남구 언주로164길 35 로로|발렛파킹, 배달, 무선 인터넷, 남/녀 화장실 구분|11:30 - 23:00
온리고|"숙성 연어사시미 (Salmon Sashimi)_29,000원|항정살 깻잎 파스타_23,000원|메뉴판_변동|런치) 숙성 연어정식_13,000원"|070-8888-2755|서울 강남구 언주로151길 20 웅빌딩 1층 101호|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분|11:00 - 22:00
타르틴베이커리 도산점|"컨트리 하프_7,500원|크루아상_4,600원|바나나 크림 타르트_9,900원|모닝번_5,500원"|070-4333-4350|서울 강남구 언주로168길 24|단체석, 주차, 발렛파킹, 포장, 배달|10:00 - 21:00
파씨오네|"런치코스_55,000원|디너코스_95,000원"|02-546-7719|서울 강남구 언주로164길 39|단체석, 주차, 발렛파킹, 예약|12:00 - 22:00
우가|"숙성 꽃등심(1++명품등급 100g기준)_52,000원|숙성 차돌박이(1++명품등급 200g기준)_48,000원|숙성 양념육회(1++명품등급 200g기준)_38,000원|토장찌개_9,000원"|02-6272-2223|서울 강남구 도산대로49길 22 B1|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|12:00 - 22:00
포레스트 청담|"NO.9 채끝 스테이크 230G_86,000원|이베리코 목살 스테이크 (Iberico Boston Butt Steak)_40,000원|쿠앤크 젤라또_26,000원|참나물 파스타_34,000원"|02-6207-8998|서울 강남구 선릉로 803 1, 2, 3층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:00 - 24:00
마망갸또 신사점|"카라멜 눈꽃 빙수_15,000원|카라멜 롤_7,000원|말차 카라멜 롤_7,000원|카라멜 토르테_7,000원"|070-4353-5860|서울 강남구 압구정로10길 30-12|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이|12:00 - 21:00
백곰막걸리|"동해안 오징어 듬뿍듬뿍 김치전_24,000원|여수 달마새우 미나리전_26,000원|태안 생물 간재미(가오리) 찜_26,000원|벌교 매콤새콤 피꼬막 미나리초무침_24,000원"|0507-1377-7644|서울 강남구 압구정로48길 39 1-2층|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|17:30 - 새벽 01:30
웍셔너리|"차오미엔_11,800원|갈릭 프라이드 라이스_8,800원|오렌지 치킨_15,800원|몽골리안 비프_26,800원"|0507-1367-9878|서울 강남구 도산대로53길 12|발렛파킹, 포장, 배달, 무선 인터넷|11:30 - 21:00
패티앤베지스|"클래식_8,900원|딥버거_8,900원|크런치프라이즈_4,500원|하와이안와사비_10,900원"|02-541-3443|서울 강남구 압구정로4길 11 1층|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:30 - 24:00
비파티세리|"퀸아망 클래식 (Kouign Amann Classic)_4,800원|퀸아망 플레이버 (Kouign Amann Flavor)_5,500원|크로아상 (Croissant)_3,500원|클럽 샌드위치 (Club Sandwich)_10,000원"|02-517-0033|서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|10:00 - 22:00
강서면옥 압구정점|"편육_35,000~50,000|녹두전_16,000원|한우평양냉면_14,000원|갈비찜 대_70,000원"|02-3445-0092|서울 강남구 언주로164길 19 강서면옥|none|11:00 - 21:30
삼창교자|"하이단(우니)교자_8,500원|훠라띠위궈(매운 소고기전골)_32,000원|뽀우위(전복)교자_9,000원|빠아위(삼치)교자_8,500원"|0507-1473-5588|서울 강남구 강남대로156길 33 1층|발렛파킹, 포장, 배달, 무선 인터넷|11:30 - 22:00
감성타코 신사점|"까르니따스 치즈 타코_9,000원|감성 그릴드 파히타_38,000원|파인애플 베르데 살사 타코_9,000원|숏립 타코_11,800원"|02-547-3366|서울 강남구 강남대로162길 31|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:30 - 22:00
키마스시 청담|"COMBO SUSHI_20,000원|SPICY TUNA MARI_12,000원|SALMON SUSHI_18,000원|TUNA SUSHI_34,000원"|0507-1390-1472|서울 강남구 도산대로51길 14 2층|주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 21:30
일일향 압구정1호점|"짜장면_7,500원|황비홍깐풍기_35,000원|유린기_35,000원|찹쌀탕수육 (꿔바로우)_30,000원"|0507-1347-6154|서울 강남구 논현로168길 30|단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분, 국민지원금|11:30 - 21:30
애니오케이션 청담|"Plain(플레인)_3,800원|Chocolate Chunk(초코렛 청크)_4,000원|Black Olive(블랙 올리브)_4,000원|Jalapeno(할라피뇨)_4,200원"|0507-1435-1470|서울 강남구 도산대로51길 14 1층|주차, 발렛파킹, 포장, 무선 인터넷|10:50 - 21:20
마사 타코|"더 웍스 브렉퍼스트 부리또_15,500원|마사탓스_15,000원|팅가데포요(치킨) 타코x 2_8,000원|토마티오 포크(돼지고기) 타코 x2_8,000원"|02-545-6915|서울 강남구 압구정로10길 30-8|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|12:00 - 22:00
다이칸야마키친|"연어초밥 10pcs_12,000원|연어대뱃살초밥10pcs_15,000원|초밥특선런치_12,000원|새우초밥스페셜_13,000원"|0507-1403-9776|서울 강남구 압구정로10길 30-3 1층|남/녀 화장실 구분|11:30 - 21:30
C27 가로수길점|"치즈케이크_8,900원|C27 coffee_6,000원|치즈라떼_6,500원|치즈프라페_7,200원"|02-544-1527|서울 강남구 도산대로15길 39|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|10:00 - 23:00
부쉬윅|"레몬 드랍_11,000원|피치 크러쉬_15,000원|롱아일랜드 아이스티_18,000원|프랑수아 뒬락 블랑 브뤼 샴페인_59,000원"|0507-1334-8432|서울 강남구 선릉로153길 34 지하 1층|단체석, 주차, 예약, 남/녀 화장실 구분, 국민지원금|19:00 - 새벽 02:00
호호식당 도산공원|"1 로스가츠정식_13,000원|3 히레가츠정식_15,000원|6 돈테키정식_17,000원|2 생선가츠정식_14,000원"|0507-1332-2384|서울 강남구 도산대로49길 29-6|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금|11:00 - 22:00
