|index|name|gubun|price|menu1|menu2|menu3|menu4|address|phone|openingHour|detailInfo
49|49|갓잇 도산공원점|멕시코,남미음식|46750|Bset(2인)|Family set(4인)|Aset(2인)|Cset (2인)|서울 강남구 언주로164길 24 아크로스빌딩 지상1층 GODEAT|0507-1339-9451|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금
50|50|맥주덕후 피자덕후|피자|44333|수제맥주 & 와인|텍사스 수비드 비프립 피자|캐네디언 랍스터펀치 치폴레 피자|하와이안 갈릭 쉬림프&파인애플 피자|서울 강남구 선릉로157길 23 2층 맥주덕후 피자덕후|0507-1380-4091|11:30 - 23:00|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
51|51|오복수산 도산|일식당|43750|모듬 사시미 中|우니 도로 이쿠라 관자 에비|카이센동|특선 카이센동|서울 강남구 도산대로53길 14 2층 오복수산|0507-1401-9967|11:30 - 21:30|주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
52|52|효계|닭요리|22000|닭숯불구이 모듬 대|닭숯불구이 모듬 중|다리살(소금)|다리살(양념)|서울 강남구 도산대로15길 15 1층|0507-1330-9215|17:00 - 24:00|발렛파킹, 남/녀 화장실 구분
53|53|압구정 곱창|곱창,막창,양|28500|한우곱창구이|한우막창구이|한우대창구이|특양구이|서울 강남구 압구정로42길 25-8|0507-1484-0054|12:00 - 22:00|단체석, 포장, 무선 인터넷
54|54|에뚜왈|베이커리|3175|마들렌|크루와상|뺑 오 쇼콜라|퀸 아망|서울 강남구 압구정로10길 35 지하1층|070-7627-0057|12:30 - 21:00|매장내식사
55|55|청담돈|일식당|26550|특상 청담 카이센동|청담 카이센동|특 우나기동|혼마구로 우니 카니동|서울 강남구 도산대로49길 11 2층 청담돈|02-549-0302|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
56|56|워커비|바(BAR)|15000|워커비드링크|none|none|none|서울 강남구 도산대로49길 6-10 지하1층|0507-1312-4195|21:00 - 새벽 04:00|매장내식사
57|57|키친마이야르|양식|22500|연어포케|통골뱅이 냉파스타|소보로 파스타|상하이 크림파스타|서울 강남구 언주로170길 22 지하1층|02-511-7002|none|매장내식사
58|58|오리지널팬케이크하우스 가로수길점|양식|20500|더치베이비|애플 팬케이크|콥 샐러드|그릭 샐러드|서울 강남구 강남대로162길 41 동원빌딩|02-511-7481|none|매장내식사
59|59|치즈룸 안다즈|이탈리아음식|23333|치즈케이크 조각|전복 솥밥 리조또|트러플 파케리 파스타|치즈 홀케이크|서울 강남구 논현로 854 안다즈호텔 지하 1층 112호|010-6700-8861|10:00 - 22:30|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분
60|60|온달집 본점|육류,고기요리|12000|닭다리살|꼼장어|무뼈닭발|닭똥집|서울 강남구 강남대로152길 28|02-511-5262|17:00 - 새벽 05:00|단체석, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분
61|61|웨이크앤베이크 청담|브런치|11250|Soup (스프)|Jambon Beurre|Basil Rucola Jambon|Mortadella Croissant|서울 강남구 압구정로42길 47|070-8835-3565|11:00 - 22:00|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분
62|62|최가네버섯샤브매운탕칼국수|샤브샤브|13750|스페셜샤브샤브(1인)|스몰샤브샤브(1인)|버섯매운탕칼국수(1인)|바싹불고기(대)|서울 강남구 도산대로51길 36|02-547-7676|11:00 - 22:00|주차, 예약
63|63|이웃집통통이 로데오점|카페,디저트|4075|황치즈라떼|소금빵|휘낭시에|아메리카노|서울 강남구 선릉로161길 19 1층|0507-1313-9286|10:00 - 21:00|발렛파킹, 포장, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금
64|64|누데이크 하우스 도산|카페,디저트|34750|PICNIC 피크닉|PEAK 피크|PEAK SMALL 피크 스몰|COLOSSEO 콜로세오|서울 강남구 압구정로46길 50 하우스 도산 B1|070-4128-2125|11:00 - 21:00|주차, 발렛파킹, 포장, 남/녀 화장실 구분
65|65|심퍼티쿠시 가로수길점|와인|18000|고추오일 명란크림 파스타|항정살 구이 곤드레 리조또|볏짚 숙성 오리 가슴살 스테이크|단호박 스프|서울 강남구 강남대로154길 16 1층 101호|0507-1330-2031|12:00 - 24:00|포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금
66|66|SADDLER HAUS|와플|9280|와플세트|페스츄리 바게트|새들러슈페너|호지티 라떼|서울 강남구 도산대로17길 10 B1 새들러하우스|070-8265-5541|12:00 - 20:00|발렛파킹, 포장, 무선 인터넷, 반려동물 동반
67|67|청초수물회 강남점|생선회|26500|해전물회 (2인분)|일반물회 (1인분)|해전물회 (1인분)|회덮밥|서울 강남구 압구정로28길 24|02-516-5050|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
68|68|진도켄 이자카야|이자카야|29250|모듬사시미|2인 course|크림짬뽕|후토마끼|서울 강남구 도산대로15길 9 지하 1층|0507-1330-5614|17:30 - 24:00|발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
69|69|ING|요리주점|18250|수제&수입 생맥주14종|복음&신선메뉴|수입병맥주20종|치킨&튀김|서울 강남구 언주로170길 34|02-545-3866|17:00 - 새벽 04:30|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
70|70|은행골 신사점|초밥,롤|20000|특상초밥|특선초밥|특미초밥|도로초밥|서울 강남구 강남대로152길 42 2층|02-3444-4988|11:00 - 22:30|단체석, 발렛파킹, 포장, 예약, 국민지원금
71|71|모센즈스위트 신사점|카페,디저트|6375|쿠나파|크림 쿠나파|게이마르 (카이막)|발르 슈트|서울 강남구 강남대로154길 21|0507-1367-0239|12:00 - 22:00|포장, 무선 인터넷, 남/녀 화장실 구분
72|72|어썸로즈|양식|39375|양송이 스프|Rose Set|Awesome Set|브라운 브레드|서울 강남구 압구정로10길 40 지하1층|0507-1341-0619|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금
73|73|소진담 신사점|카페,디저트|13500|케이크|아메리카노|홀케이크|쑥차|서울 강남구 논현로161길 51 B1, 1F|02-542-5550|11:00 - 22:00|단체석, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형)
74|74|피자네버슬립스|피자|23000|CHEESE PIZZA|PEPPERONI PIZZA|POTATO PIZZA|DOUBLE PEPPERONI PIZZA|서울 강남구 도산대로19길 50 2층 피자네버슬립스|0507-1313-5877|12:00 - 23:00|단체석, 포장, 예약, 무선 인터넷
75|75|로로|양식|25500|기버터 스테이크|유자 홀토마토 샐러드|오징어 먹물 크림 리조또|수제 라자냐|서울 강남구 언주로164길 35 로로|0507-1398-0022|11:30 - 23:00|발렛파킹, 배달, 무선 인터넷, 남/녀 화장실 구분
76|76|온리고|양식|21667|숙성 연어사시미 (Salmon Sashimi)|항정살 깻잎 파스타|메뉴판|런치) 숙성 연어정식|서울 강남구 언주로151길 20 웅빌딩 1층 101호|070-8888-2755|11:00 - 22:00|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분
77|77|타르틴베이커리 도산점|베이커리|6875|컨트리 하프|크루아상|바나나 크림 타르트|모닝번|서울 강남구 언주로168길 24|070-4333-4350|10:00 - 21:00|단체석, 주차, 발렛파킹, 포장, 배달
78|78|파씨오네|프랑스음식|75000|런치코스|디너코스|none|none|서울 강남구 언주로164길 39|02-546-7719|12:00 - 22:00|단체석, 주차, 발렛파킹, 예약
79|79|우가|소고기구이|36750|숙성 꽃등심(1++명품등급 100g기준)|숙성 차돌박이(1++명품등급 200g기준)|숙성 양념육회(1++명품등급 200g기준)|토장찌개|서울 강남구 도산대로49길 22 B1|02-6272-2223|12:00 - 22:00|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
80|80|포레스트 청담|양식|46500|NO.9 채끝 스테이크 230G|이베리코 목살 스테이크 (Iberico Boston Butt Steak)|쿠앤크 젤라또|참나물 파스타|서울 강남구 선릉로 803 1, 2, 3층|02-6207-8998|11:00 - 24:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
81|81|마망갸또 신사점|케이크전문|9000|카라멜 눈꽃 빙수|카라멜 롤|말차 카라멜 롤|카라멜 토르테|서울 강남구 압구정로10길 30-12|070-4353-5860|12:00 - 21:00|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이
82|82|백곰막걸리|전통,민속주점|25000|동해안 오징어 듬뿍듬뿍 김치전|여수 달마새우 미나리전|태안 생물 간재미(가오리) 찜|벌교 매콤새콤 피꼬막 미나리초무침|서울 강남구 압구정로48길 39 1-2층|0507-1377-7644|17:30 - 새벽 01:30|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금
83|83|웍셔너리|중식당|15800|차오미엔|갈릭 프라이드 라이스|오렌지 치킨|몽골리안 비프|서울 강남구 도산대로53길 12|0507-1367-9878|11:30 - 21:00|발렛파킹, 포장, 배달, 무선 인터넷
84|84|패티앤베지스|햄버거|8300|클래식|딥버거|크런치프라이즈|하와이안와사비|서울 강남구 압구정로4길 11 1층|02-541-3443|11:30 - 24:00|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
85|85|비파티세리|베이커리|5950|퀸아망 클래식 (Kouign Amann Classic)|퀸아망 플레이버 (Kouign Amann Flavor)|크로아상 (Croissant)|클럽 샌드위치 (Club Sandwich)|서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리|02-517-0033|10:00 - 22:00|단체석, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
86|86|강서면옥 압구정점|냉면|37000|편육|녹두전|한우평양냉면|갈비찜 대|서울 강남구 언주로164길 19 강서면옥|02-3445-0092|11:00 - 21:30|매장내식사
87|87|삼창교자|딤섬,중식만두|14500|하이단(우니)교자|훠라띠위궈(매운 소고기전골)|뽀우위(전복)교자|빠아위(삼치)교자|서울 강남구 강남대로156길 33 1층|0507-1473-5588|11:30 - 22:00|발렛파킹, 포장, 배달, 무선 인터넷
88|88|감성타코 신사점|멕시코,남미음식|16950|까르니따스 치즈 타코|감성 그릴드 파히타|파인애플 베르데 살사 타코|숏립 타코|서울 강남구 강남대로162길 31|02-547-3366|11:30 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
89|89|키마스시 청담|초밥,롤|21000|COMBO SUSHI|SPICY TUNA MARI|SALMON SUSHI|TUNA SUSHI|서울 강남구 도산대로51길 14 2층|0507-1390-1472|11:30 - 21:30|주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
90|90|일일향 압구정1호점|중식당|26875|짜장면|황비홍깐풍기|유린기|찹쌀탕수육 (꿔바로우)|서울 강남구 논현로168길 30|0507-1347-6154|11:30 - 21:30|단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분, 국민지원금
91|91|애니오케이션 청담|양식|4000|Plain(플레인)|Chocolate Chunk(초코렛 청크)|Black Olive(블랙 올리브)|Jalapeno(할라피뇨)|서울 강남구 도산대로51길 14 1층|0507-1435-1470|10:50 - 21:20|주차, 발렛파킹, 포장, 무선 인터넷
92|92|마사 타코|멕시코,남미음식|11625|더 웍스 브렉퍼스트 부리또|마사탓스|팅가데포요(치킨) 타코x 2|토마티오 포크(돼지고기) 타코 x2|서울 강남구 압구정로10길 30-8|02-545-6915|12:00 - 22:00|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분
93|93|다이칸야마키친|덮밥|13000|연어초밥 10pcs|연어대뱃살초밥10pcs|초밥특선런치|새우초밥스페셜|서울 강남구 압구정로10길 30-3 1층|0507-1403-9776|11:30 - 21:30|남/녀 화장실 구분
94|94|C27 가로수길점|카페|7150|치즈케이크|C27 coffee|치즈라떼|치즈프라페|서울 강남구 도산대로15길 39|02-544-1527|10:00 - 23:00|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
95|95|부쉬윅|바(BAR)|25750|레몬 드랍|피치 크러쉬|롱아일랜드 아이스티|프랑수아 뒬락 블랑 브뤼 샴페인|서울 강남구 선릉로153길 34 지하 1층|0507-1334-8432|19:00 - 새벽 02:00|단체석, 주차, 예약, 남/녀 화장실 구분, 국민지원금
96|96|호호식당 도산공원|일식당|14750|1 로스가츠정식|3 히레가츠정식|6 돈테키정식|2 생선가츠정식|서울 강남구 도산대로49길 29-6|0507-1332-2384|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금
97|97|칙피스 신사점|양식|14250|비건 샐러드 (Vegan Salad)|아보카도 샐러드 (Avocado Salad)|미트 러버 피타 볼 세트|그릴드쉬림프 라이스 (Grilled Shrimp Rice)|서울 강남구 강남대로152길 69|0507-1338-6780|11:30 - 20:30|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
98|98|콘유|일식당|15000|숯불꼬치 세트 A|숯불꼬치 세트B|아보카도 참치 육회|닭완자|서울 강남구 도산대로11길 31-7|02-545-0527|18:00 - 24:00|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분
99|99|콘피에르|양식|59000|디너코스(9코스)|런치코스(7코스)|none|none|서울 강남구 도산대로49길 10-2 2F|0507-1373-0827|12:00 - 21:30|발렛파킹, 예약, 무선 인터넷
100|100|롸카두들 내쉬빌 핫치킨 압구정|햄버거|8700|클래식|none|none|none|서울 강남구 언주로164길 35-3 1층|02-3447-3456|11:30 - 21:00|포장, 배달, 무선 인터넷
101|101|임프레션|양식|130000|런치 테이스팅 코스 메뉴|디너 테이스팅 코스 메뉴|none|none|서울 강남구 언주로164길 24 5층|02-6925-5522|12:00 - 22:00|발렛파킹, 남/녀 화장실 구분
102|102|벙커컴퍼니 압구정점|카페,디저트|5000|에스프레소|브루잉커피|쥬시롱블랙|다크롱블랙|서울 강남구 언주로167길 23 단독주택 1, 2층|0507-1357-1456|10:00 - 21:00|포장, 무선 인터넷, 남/녀 화장실 구분
103|103|보타르가|이탈리아음식|38000|Bottarga Pasta|none|none|none|서울 강남구 언주로170길 16 1층|010-8558-5378|12:00 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
104|104|메리고라운드 스테이크|양식|48000|스테이크브런치|파스타스테이크 세트|디럭스세트|킹콩스테이크|서울 강남구 논현로175길 69 원영빌딩 1층|02-6080-9141|11:30 - 22:00|단체석, 주차, 포장, 배달, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
105|105|신미식당|한식|21250|생삼겹살(200g)|생목살(200g)|감자탕 대|된장찌개 김치찌개 순두부|서울 강남구 압구정로 214 현대종합상가빌딩 1층|02-516-4900|11:00 - 22:00|단체석, 국민지원금
