업소명,별점,리뷰수,좋아요수,소재지지번
청수당갤러리,4.1,10,10,서울 강남구 신사동 544-9
설매네,3.8,8,55,서울특별시 강남구 신사동 609-1
청초수물회 강남점,4.0,6,14,서울특별시 강남구 신사동 576-6
스시인,5.0,1,105,서울특별시 강남구 신사동 645-28
킹콩 스테이크,4.0,11,221,서울시 강남구 신사동 550-1
금성스테이크 부대찌개,3.7,9,61,서울특별시 강남구 신사동 640-1
양식당 더램키친,4.4,3,57,서울특별시 강남구 신사동 529-6 2층
리틀사이공 압구정점,4.2,6,132,서울특별시 강남구 신사동 640-1
을지다락 도산공원,4.1,11,6,서울 강남구 신사동 644-18 2층
카이센동 우니도,4.0,2,3,서울특별시 강남구 신사동 522
오스테리아 꼬또 압구정점,3.4,9,150,서울특별시 강남구 신사동 623-5
미분당,4.3,7,3,서울 강남구 신사동 511-20
설로인 다이닝,4.6,4,15,서울특별시 강남구 신사동 586-7
스시기요세,5.0,2,11,서울특별시 강남구 신사동 648-20 2층
우미학,4.4,4,85,서울특별시 강남구 신사동 600-1 2층
마산옥,3.4,8,149,서울시 강남구 신사동 512-20 1층
르 브런쉭,3.3,13,65,서울시 강남구 신사동 524-35
로바다야끼 최군,4.6,3,10,서울특별시 강남구 신사동 656
영동소금구이 신사점,5.0,2,72,서울특별시 강남구 신사동 510-7
신비갈비살 본점,4.6,2,5,서울특별시 강남구 신사동 508-9
블루보틀 압구정,3.9,14,3,서울특별시 강남구 신사동 603
애술린,4.5,2,8,서울특별시 강남구 신사동 631-36
병철이네쪽갈비,4.0,2,31,서울특별시 강남구 신사동 588-5
쿠라우니,4.4,4,4,서울특별시 강남구 신사동 517-31 지하
돈불리 제담,5.0,2,19,서울특별시 강남구 신사동 510-11
식부관,4.2,5,30,서울특별시 강남구 신사동 656-24
피자익스프레스,4.1,10,4,서울특별시 강남구 신사동 524-31
소적두 압구정동점,5.0,2,7,서울시 강남구 신사동 660-18
마제스티 타바론 티 라운지,3.8,5,23,서울특별시 강남구 신사동 652-16
안식 레스토랑,4.1,7,9,서울특별시 강남구 신사동 654-10
송옥,4.2,5,56,서울특별시 강남구 신사동 537-7
닭한마리감자탕,4.0,2,76,서울시 강남구 신사동 512-18
삼원가든,4.1,6,8,서울특별시 강남구 신사동 623-5
토리카마,5.0,1,3,서울특별시 강남구 신사동 657-5
라공방 가로수길본점,4.2,9,6,서울특별시 강남구 신사동 517-27
js 가든 압구정점,4.0,4,26,서울특별시 강남구 신사동 638-9
온다,4.4,4,2,서울특별시 강남구 신사동 517-31
뷰티그로서리,3.5,5,6,서울특별시 강남구 신사동 648-16
해남집,3.5,2,24,서울특별시 강남구 신사동 508-1
