업소명,별점,리뷰수,좋아요수,소재지지번
매덕스피자 신사점,4.4,9,10,서울시 강남구 신사동 541-11
산동교자관,4.6,4,114,서울특별시 강남구 신사동 615
지구당,4.0,16,317,서울특별시 강남구 신사동 546-20
도산분식,3.8,33,84,서울특별시 강남구 신사동 652-7
신사연어,4.2,13,110,서울특별시 강남구 신사동 512-9 MG타운 2층
강남면옥 본점,4.1,9,62,서울시 강남구 신사동 588-9
우마텐 텐동,4.2,11,62,서울특별시 강남구 신사동 661-10
식물성 도산,4.5,10,2,서울특별시 강남구 신사동 634-16
더 페이머스 버거 신사점,4.5,9,17,서울시 강남구 신사동 513-4
보울룸,4.2,14,14,서울특별시 강남구 신사동 635-15
이치서울,4.4,8,3,서울특별시 강남구 신사동 508-6
마크레인 커피,4.3,8,37,서울특별시 강남구 신사동 657-24
가담,3.8,9,28,서울특별시 강남구 신사동 608-8
일일향 1호점,3.9,12,234,서울특별시 강남구 신사동 601-3 동우빌딩 1층
온달집 본점,4.5,6,11,서울특별시 강남구 신사동 514-4
감성타코,3.7,33,352,서울특별시 강남구 신사동 523-16
꽁티드툴레아,4.0,15,81,서울특별시 강남구 신사동 646-21
파넬 카페,4.1,10,43,서울특별시 강남구 신사동 649-2
장사랑 본점,4.2,7,50,서울시 강남구 신사동 624-47 B1F
마망갸또 본점,4.5,6,65,서울특별시 강남구 신사동 524-27 마망갸또하우스
듀자미,3.5,31,217,서울특별시 강남구 신사동 535-9
우시야,4.2,5,169,서울특별시 강남구 신사동 566-29
홍미닭발 신사점,4.1,13,57,서울시 강남구 신사동 502-1 신시빌딩 1층
쉑쉑버거 청담점,3.7,42,36,서울특별시 강남구 신사동 652-16 SGF청담타워 1층
미미면가,4.3,6,6,서울특별시 강남구 신사동 521-16
신사치킨클럽,4.6,5,5,서울특별시 강남구 신사동 520-1
두레국수,3.6,15,299,서울특별시 강남구 신사동 626-79
달래해장,4.5,2,10,서울특별시 강남구 신사동 510-11 강남시장
잠수교집 5호점,4.5,7,9,서울시 강남구 신사동 626-71
우텐더,4.3,4,63,서울특별시 강남구 신사동 643-20
선셋스위밍 샌드위치,4.5,7,8,서울특별시 강남구 신사동 643-28
나따오비까,4.5,4,10,서울특별시 강남구 신사동 519-28
본죽&비빔밥cafe 신사점,4.3,7,3,서울특별시 강남구 신사동 514-9
장스테이크,4.4,5,26,서울특별시 강남구 신사동 639
엘이베리코 압구정점,4.4,7,35,서울특별시 강남구 신사동 576-4
교텐,4.1,3,4,서울특별시 강남구 신사동 521-3
노이에 아트멍,4.8,5,5,서울특별시 강남구 신사동 559-9
미앙,4.5,6,12,서울특별시 강남구 신사동 603 안다즈호텔 지하1층
랑꼬뉴,4.2,6,8,서울특별시 강남구 신사동 556-27
뉴만두집,3.6,17,182,서울특별시 강남구 신사동 661-1
키친 마이야르,5.0,1,2,서울특별시 강남구 신사동 644-6 지하1층
씨네드쉐프 압구정점,4.0,6,6,서울시 강남구 신사동 602 B3F (CGV 신관 지하5층)
카페파이브바,4.6,5,1,서울특별시 강남구 신사동 662-17
닭으로 가,4.1,14,68,서울시 강남구 신사동 662-6
미토우,5.0,1,12,서울특별시 강남구 신사동 563-18
호화반점,4.5,12,22,서울특별시 강남구 신사동 661-4
미국식 압구정점,5.0,2,2,서울특별시 강남구 신사동 655-5
